
;Nombre: ;bryan
;Apellido: ;zurita
;Telefono de Casa: ;123467
;Celular: ;1324356876
;Correo: ;fasf
;Direccion: ;asda
;Cedula: ;fasd
;Cumpleanios: ;fasfda/sada/fsad
;Aniversario: ;asd/asf/asd
;Nota: ;asd

;Nombre: ;jorge
;Apellido: ;narvaez
;Telefono de Casa: ;kasgjd
;Celular: ;alsdh
;Correo: ;akshfd
;Direccion: ;aalsdfh
;Cedula: ;alshdf
;Cumpleanios: ;alsdfh/askf/alsf}
;Aniversario: ;a¤sfj/afskl/aslf
;Nota: ;asd

;Nombre: ;b
;Apellido: ;z
;Telefono de Casa: ;123
;Celular: ;1234567890
;Correo: ;sogdfnh
;Direccion: ;aslidf
;Cedula: ;1725264822
;Cumpleanios: ;09/09/1999
;Aniversario: ;09/09/1999
;Nota: ;sfdfd

;Nombre: ;a
;Apellido: ;b
;Telefono de Casa: ;123456789
;Celular: ;1234567890
;Correo: ;asdfsad
;Direccion: ;asd
;Cedula: ;1725264822
;Cumpleanios: ;09/09/1999
;Aniversario: ;21/23/1999
;Nota: ;afdas

;Nombre: ;bryan
;Apellido: ;zurita
;Telefono de Casa: ;123456789
;Celular: ;1234567890
;Correo: ;qdasdas
;Direccion: ;asdasd
;Cedula: ;1725264822
;Cumpleanios: ;12/12/1999
;Aniversario: ;29/29/1999
;Nota: ;1sads

;Nombre: ;we
;Apellido: ;asd
;Telefono de Casa: ;123456789
;Celular: ;1234567890
;Correo: ;asdas
;Direccion: ;fadfa
;Cedula: ;1725264822
;Cumpleanios: ;09/09/1999
;Aniversario: ;12/12/1999
;Nota: ;ldsjfs

;Nombre: ;victor
;Apellido: ;jimenez
;Telefono de Casa: ;233214
;Celular: ;234253453
;Correo: ;aaaa
;Direccion: ;ewer
;Cedula: ;v
;Cumpleanios: ;34/05/2018
;Aniversario: ;34/3/1996
;Nota: ;fdsdfdsf

;Nombre: ;victor
;Apellido: ;jimenez
;Telefono de Casa: ;324534534
;Celular: ;43534535
;Correo: ;dfsfs
;Direccion: ;sfdsdf
;Cedula: ;4534535
;Cumpleanios: ;01/05/1996
;Aniversario: ;04/07/1996
;Nota: ;dfgdf

;Nombre: ;victor
;Apellido: ;jimenez
;Telefono de Casa: ;345345345
;Celular: ;234534535
;Correo: ;fdsfsdfs
;Direccion: ;sdfsdfsfd
;Cedula: ;1221212
;Cumpleanios: ;04/07/1996
;Aniversario: ;12/22/1996
;Nota: ;dfg

;Nombre: ;victor
;Apellido: ;jimenez
;Telefono de Casa: ;324234
;Celular: ;234234234
;Correo: ;sdfsfsdf
;Direccion: ;sdfsdfsdf
;Cedula: ;1725343434
;Cumpleanios: ;04/07/1996
;Aniversario: ;07/32/1996
;Nota: ;sdfsdfsdf

;Nombre: ;victor
;Apellido: ;jimnenez
;Telefono de Casa: ;324234
;Celular: ;3424234
;Correo: ;sfsdf
;Direccion: ;sdfsdf
;Cedula: ;12324234
;Cumpleanios: ;04/07/1996
;Aniversario: ;34/23/2001
;Nota: ;sdsfdf

;Nombre: ;victor
;Apellido: ;jimenez
;Telefono de Casa: ;32423424
;Celular: ;30242424
;Correo: ;wefsdfsdf
;Direccion: ;sfsdfs
;Cedula: ;324234232
;Cumpleanios: ;04/07/1996
;Aniversario: ;04/02/1995
;Nota: ;sdfsfd

;Nombre: ;zsdsad
;Apellido: ;asdas
;Telefono de Casa: ;34534
;Celular: ;2342
;Correo: ;sfdf
;Direccion: ;sdfsdf
;Cedula: ;2342343
;Cumpleanios: ;34/34/1996
;Aniversario: ;04/07/1996
;Nota: ;dfgd
